COMMUNE_NAME,TOTAL_INSURED_CAPITAL,POLICY_COUNT
1 - ADRAR,14358000.00,4
100 - ALGER,81274750.00,22
1000 - ARZEW ORAN,2695020.00,2
1002 - BETHIOUA,121588430.00,13
1003 - BIR EL DJIR,998368580.00,285
1004 - BOUFATIS,8230000.00,3
1005 - BOUSFER,23205000.00,2
1006 - BOUTLELIS,72336700.00,6
1009 - EL BRAYA,2275000.00,2
101 - BAB EL OUED,109440310.00,32
1010 - EL KARMA,13544000.00,7
1011 - ES SENIA,217776330.00,39
1012 - GDYEL,31674140.00,15
1013 - HASSI BEN OKBA,1925000.00,1
1014 - HASSI BOUNIF,15896300.00,6
1017 - MERS EL KEBIR,1669500.00,1
1018 - MISSERGHIN,6542780.00,3
1019 - ORAN,8330207137.20,826
102 - BABA HASSEN,1438812600.00,246
1020 - OUED TLELAT,114197090.00,47
1022 - SIDI CHAMI,84504824.00,22
1023 - TAFRAOUI,4082750.00,1
1024 - AIN BEIDA OUARGLA,5600000.00,1
103 - BACH DJERRAH,305600764.50,110
1031 - HASSI MESSAOUD,185931914.36,26
1035 - NGOUSSA,2800000.00,1
1036 - OUARGLA,53280390.75,5
1037 - ROUISSAT,1287414385.00,26
104 - BAINS ROMAINS,55895580.00,9
1042 - TEBESBEST,70454976.00,1
1043 - TOUGGOURT,7000000.00,2
1049 - AIN KERCHA,5867000.00,2
105 - BARAKI,2376615621.00,229
1050 - AIN MLILA,203846980.00,121
1054 - BIR CHOUHADA,8903100.00,2
1055 - DHALAA,2170000.00,1
1057 - EL BELALA,9300000.00,3
106 - BEB EZZOUAR,4277350995.00,167
1068 - OULED HAMLA,45780000.00,9
107 - BEN AKNOUN,128841620.00,34
1070 - OUM EL BOUAGHI,8853910.00,3
1072 - SIGUS,3000000.00,2
1073 - SOUK NAAMANE,4141230.00,2
108 - BENI MESSOUS,130022020.00,26
109 - BIR KHADEM,1893419924.01,394
110 - BIR MOURAD RAIS,766231786.25,178
1101 - OULED YAICH RELIZANE,3720000.00,1
1103 - RELIZANE,30695700.00,9
111 - BIRTOUTA,2098235739.00,300
112 - BOLOGHINE IBN ZIRI,18213760.00,7
1122 - SAIDA,7224250.00,6
1124 - SIDI AMAR SAIDA,2072000.00,1
1128 - AIN ABESSA,1715000.00,1
1129 - AIN ARNAT,33653260.00,10
113 - BORDJ EL BAHRI,429691772.50,87
1130 - AIN AZAL,19672000.00,6
1131 - AIN EL KEBIRA,38774050.00,18
1132 - AIN LAGRADJ,2000000.00,1
1133 - AIN LAHDJAR,25302000.00,10
1134 - AIN OULMANE,5400000.00,3
1136 - AIN SEBT,26070000.00,13
1138 - AMOUCHA,700000.00,1
1139 - BABOR,6265000.00,3
114 - BORDJ EL KIFFAN,802569557.50,214
1140 - BAZER SAKRA,595135480.00,118
1141 - BEIDHA BORDJ,3224000.00,1
1142 - BELLAA,38710000.00,9
1143 - BENI AZIZ,109151090.00,51
1144 - BENI CHEBANA,2000000.00,1
1145 - BENI FOUDA,70399420.00,22
1147 - BENI MOUHLI,7647250.00,4
1148 - BENI OUARTILANE,58365000.00,24
1149 - BIR EL ARCH,379348690.00,84
115 - BOUROUBA,301307140.00,135
1150 - BIR HADDADA,14700000.00,2
1151 - BOUANDAS,922250.00,1
1152 - BOUGAA,2880500.00,2
1155 - DEHAMCHA,560000.00,1
1156 - DJEMILA,44590000.00,13
1158 - EL EULMA,7741222058.38,2129
1159 - EL OUELDJA SETIF,4680000.00,3
116 - BOUZAREAH,529492890.00,77
1160 - EL OURICIA,5290770.00,2
1161 - GUELLAL,1400000.00,1
1162 - GUELTA ZERGA,295076320.00,64
1163 - GUENZET TASSAMEURT,2500000.00,1
1164 - GUIDJEL,98378350.00,14
1167 - HAMMAM SKHOUNA,696595960.00,85
1168 - HARBIL,2100000.00,1
117 - CASBAH,48757000.00,13
1170 - MAAOUIA,16743000.00,6
1172 - MEZLOUG,708561900.00,11
1176 - OULED SABOR,377448410.00,5
118 -,3877520.00,1
118 - CHERAGA ALGER,3279937098.40,549
1181 - SERDJ EL GHOUL,1330000.00,1
1182 - SETIF,11880008535.70,1349
1183 - TACHOUDA,38639860.00,10
1185 - TAYA,29389150.00,7
1186 - TELLA,39314050.00,11
1187 - TIZI NBECHAR,8750000.00,2
1189 - AIN EL BERD,3000000.00,1
119 - DAR EL BEIDA,2216845110.00,353
