wilaya_code,wilaya_name,commune_name,zone
01,Adrar,Adrar,0
01,Adrar,Akabli,0
01,Adrar,Aoulef,0
01,Adrar,Bouda,0
01,Adrar,Fenoughil,0
01,Adrar,In Zghmir,0
01,Adrar,Ouled Ahmed Timmi,0
01,Adrar,Reggane,0
01,Adrar,Sali,0
01,Adrar,Sebaa,0
01,Adrar,Tamantit,0
01,Adrar,Tamest,0
01,Adrar,Timekten,0
01,Adrar,Tit,0
01,Adrar,Tsabit,0
01,Adrar,Zaouiet Kounta,0
02,Chlef,Abou El Hassane,III
02,Chlef,Ain Merane,III
02,Chlef,Benairia,III
02,Chlef,Beni Bouattab,III
02,Chlef,Beni Haoua,III
02,Chlef,Beni Rached,III
02,Chlef,Boukadir,III
02,Chlef,Boukadir,IIb
02,Chlef,Bouzeghaia,III
02,Chlef,Breira,III
02,Chlef,Chettia,III
02,Chlef,Chlef,III
02,Chlef,Dahra,III
02,Chlef,El Hadjadj,III
02,Chlef,El Karimia,III
02,Chlef,El Karimia,IIb
02,Chlef,El Marsa,III
02,Chlef,Harchoun,III
02,Chlef,Harchoun,IIb
02,Chlef,Herenfa,III
02,Chlef,Labiod Medjadja,III
02,Chlef,Moussadek,III
02,Chlef,Oued Fodda,III
02,Chlef,Oued Goussine,III
02,Chlef,Oued Sly,III
02,Chlef,Oued Sly,IIb
02,Chlef,Ouled Abbes,III
02,Chlef,Ouled Ben Abdelkader,III
02,Chlef,Ouled Ben Abdelkader,IIa
02,Chlef,Ouled Fares,III
02,Chlef,Oum Drou,III
02,Chlef,Sendjas,III
02,Chlef,Sendjas,IIb
02,Chlef,Sidi Abderrahmane,III
02,Chlef,Sidi Akkacha,III
02,Chlef,Sobha,III
02,Chlef,Tadjena,III
02,Chlef,Talassa,III
02,Chlef,Taougrit,III
02,Chlef,Tenes,III
02,Chlef,Zeboudja,III
03,Laghouat,Aflou,I
03,Laghouat,Ain Madhi,I
03,Laghouat,Ain Sidi Ali,I
03,Laghouat,Benacer Benchohra,I
03,Laghouat,Brida,I
03,Laghouat,El Assafia,I
03,Laghouat,El Beidha,I
03,Laghouat,El Ghicha,I
03,Laghouat,El Haouaita,I
03,Laghouat,Gueltat Sidi Saad,I
03,Laghouat,Hadj Mechri,I
03,Laghouat,Hassi Delaa,I
03,Laghouat,Hassi R'mel,I
03,Laghouat,Kheneg,I
03,Laghouat,Ksar El Hirane,I
03,Laghouat,Laghouat,I
03,Laghouat,Oued M'zi,I
03,Laghouat,Oued Morra,I
03,Laghouat,Sebgag,I
03,Laghouat,Sidi Bouzid,I
03,Laghouat,Sidi Makhlouf,I
03,Laghouat,Tadjemout,I
03,Laghouat,Tadjrouna,I
03,Laghouat,Taouiala,I
04,Oum El Bouaghi,Ain Babouche,I
04,Oum El Bouaghi,Ain Beida,I
04,Oum El Bouaghi,Ain Diss,I
04,Oum El Bouaghi,Ain Fekroun,I
04,Oum El Bouaghi,Ain Kercha,I
04,Oum El Bouaghi,Ain M'lila,I
04,Oum El Bouaghi,Ain Zitoun,I
04,Oum El Bouaghi,Behir Chergui,I
04,Oum El Bouaghi,Berriche,I
04,Oum El Bouaghi,Bir Chouhada,I
04,Oum El Bouaghi,Dhalaa,I
04,Oum El Bouaghi,El Amiria,I
04,Oum El Bouaghi,El Belala,I
04,Oum El Bouaghi,El Djazia,I
04,Oum El Bouaghi,El Fedjoudj Boughrara Sa,I
04,Oum El Bouaghi,El Harmilia,I
04,Oum El Bouaghi,Fkirina,I
04,Oum El Bouaghi,Hanchir Toumghani,I
04,Oum El Bouaghi,Ksar Sbahi,I
04,Oum El Bouaghi,Meskiana,I
04,Oum El Bouaghi,Oued Nini,I
04,Oum El Bouaghi,Ouled Gacem,I
04,Oum El Bouaghi,Ouled Hamla,I
04,Oum El Bouaghi,Ouled Zouai,I
04,Oum El Bouaghi,Oum El Bouaghi,I
04,Oum El Bouaghi,Rahia,I
04,Oum El Bouaghi,Sigus,I
04,Oum El Bouaghi,Souk Naamane,I
04,Oum El Bouaghi,Zorg,I
05,Batna,Ain Djasser,I
05,Batna,Ain Touta,I
05,Batna,Ain Yagout,I
05,Batna,Arris,I
05,Batna,Azil Abedelkader,I
05,Batna,Barika,I
05,Batna,Batna,I
05,Batna,Beni Foudhala El Hakania,I
05,Batna,Bitam,I
05,Batna,Boulhilat,I
05,Batna,Boumagueur,I
05,Batna,Boumia,I
05,Batna,Bouzina,I
05,Batna,Chemora,I
05,Batna,Chir,I
05,Batna,Djerma,I
05,Batna,Djezzar,I
05,Batna,El Hassi,I
05,Batna,El Madher,I
05,Batna,Fesdis,I
05,Batna,Foum Toub,I
05,Batna,Ghassira,I
05,Batna,Gosbat,I
05,Batna,Guigba,I
05,Batna,Hidoussa,I
05,Batna,Ichemoul,I
05,Batna,Inoughissen,I
05,Batna,Kimmel,I
05,Batna,Ksar Bellezma,I
05,Batna,Larbaa,I
05,Batna,Lazrou,I
05,Batna,Lemcene,I
05,Batna,M Doukal,I
05,Batna,Maafa,I
05,Batna,Menaa,I
05,Batna,Merouana,I
05,Batna,N Gaous,I
05,Batna,Oued Chaaba,I
05,Batna,Oued El Ma,I
05,Batna,Oued Taga,I
05,Batna,Ouled Ammar,I
05,Batna,Ouled Aouf,I
05,Batna,Ouled Fadel,I
05,Batna,Ouled Sellem,I
05,Batna,Ouled Si Slimane,I
05,Batna,Ouyoun El Assafir,I
05,Batna,Rahbat,I
05,Batna,Ras El Aioun,I
05,Batna,Sefiane,I
05,Batna,Seggana,I
05,Batna,Seriana,I
05,Batna,T Kout,I
05,Batna,Talkhamt,I
05,Batna,Taxlent,I
05,Batna,Tazoult,I
05,Batna,Teniet El Abed,I
05,Batna,Tighanimine,I
05,Batna,Tigharghar,I
05,Batna,Tilatou,I
05,Batna,Timgad,I
05,Batna,Zanet El Beida,I
06,Bejaia,Adekar,IIa
06,Bejaia,Ait R'zine,IIa
06,Bejaia,Ait-Smail,IIa
06,Bejaia,Akbou,IIa
06,Bejaia,Akfadou,IIa
06,Bejaia,Amalou,IIa
06,Bejaia,Amizour,IIa
06,Bejaia,Aokas,IIa
06,Bejaia,Barbacha,IIa
06,Bejaia,Bejaia,IIa
06,Bejaia,Beni Djellil,IIa
06,Bejaia,Beni K'sila,IIa
06,Bejaia,Beni-Mallikeche,IIa
06,Bejaia,Benimaouche,IIa
06,Bejaia,Boudjellil,IIa
06,Bejaia,Bouhamza,IIa
06,Bejaia,Boukhelifa,IIa
06,Bejaia,Chellata,IIa
06,Bejaia,Chemini,IIa
06,Bejaia,Darguina,IIa
06,Bejaia,Dra El Caid,IIa
06,Bejaia,El Kseur,IIa
06,Bejaia,Fenaia Il Maten,IIa
06,Bejaia,Feraoun,IIa
06,Bejaia,Ighil-Ali,IIa
06,Bejaia,Ighram,IIa
06,Bejaia,Kendira,IIa
06,Bejaia,Kherrata,IIa
06,Bejaia,Leflaye,IIa
06,Bejaia,M'cisna,IIa
06,Bejaia,Melbou,IIa
06,Bejaia,Oued Ghir,IIa
06,Bejaia,Ouzellaguen,IIa
06,Bejaia,Seddouk,IIa
06,Bejaia,Sidi Ayad,IIa
06,Bejaia,Sidi-Aich,IIa
06,Bejaia,Smaoun,IIa
06,Bejaia,Souk El Tenine,IIa
06,Bejaia,Souk Oufella,IIa
06,Bejaia,Tala Hamza,IIa
06,Bejaia,Tamokra,IIa
06,Bejaia,Tamridjet,IIa
06,Bejaia,Taourit Ighil,IIa
06,Bejaia,Taskriout,IIa
06,Bejaia,Tazmalt,IIa
06,Bejaia,Tibane,IIa
06,Bejaia,Tichy,IIa
06,Bejaia,Tifra,IIa
06,Bejaia,Timezrit,IIa
06,Bejaia,Tinebdar,IIa
06,Bejaia,Tizi-N'berber,IIa
06,Bejaia,Toudja,IIa
07,Biskra,Ain Naga,I
07,Biskra,Ain Zaatout,I
07,Biskra,Biskra,I
07,Biskra,Bordj Ben Azzouz,I
07,Biskra,Bouchakroun,I
07,Biskra,Branis,I
07,Biskra,Chetma,I
07,Biskra,Djemorah,I
07,Biskra,El Feidh,I
07,Biskra,El Ghrous,I
07,Biskra,El Hadjab,I
07,Biskra,El Haouch,I
07,Biskra,El Kantara,I
07,Biskra,El Outaya,I
07,Biskra,Foughala,I
07,Biskra,Khenguet Sidi Nadji,I
07,Biskra,Lichana,I
07,Biskra,Lioua,I
07,Biskra,M'chouneche,I
07,Biskra,M'lili,I
07,Biskra,Mekhadma,I
07,Biskra,Meziraa,I
07,Biskra,Oumache,I
07,Biskra,Ourlal,I
07,Biskra,Sidi Okba,I
07,Biskra,Tolga,I
07,Biskra,Zeribet El Oued,I
08,Bechar,Abadla,0
08,Bechar,Bechar,0
08,Bechar,Beni-Ounif,0
08,Bechar,Boukais,0
08,Bechar,Erg-Ferradj,0
08,Bechar,Kenadsa,0
08,Bechar,Lahmar,0
08,Bechar,Machraa-Houari-Boumediene,0
08,Bechar,Meridja,0
08,Bechar,Mogheul,0
08,Bechar,Tabelbala,0
08,Bechar,Taghit,0
09,Blida,Ain Romana,III
09,Blida,Ain Romana,IIb
09,Blida,Beni Mered,III
09,Blida,Beni-Tamou,III
09,Blida,Benkhelil,III
09,Blida,Blida,III
09,Blida,Bouarfa,III
09,Blida,Boufarik,III
09,Blida,Bougara,III
09,Blida,Bougara,IIb
09,Blida,Bouinan,III
09,Blida,Chebli,III
09,Blida,Chiffa,III
09,Blida,Chrea,III
09,Blida,Djebabra,III
09,Blida,Djebabra,IIb
09,Blida,El-Affroun,III
09,Blida,Guerrouaou,III
09,Blida,Hammam Elouane,III
09,Blida,Hammam Elouane,IIb
09,Blida,Larbaa,III
09,Blida,Larbaa,IIb
09,Blida,Meftah,III
09,Blida,Meftah,IIb
09,Blida,Mouzaia,III
09,Blida,Oued Djer,III
09,Blida,Oued El Alleug,III
09,Blida,Ouled Slama,III
09,Blida,Ouled Slama,IIb
09,Blida,Ouled Yaich,III
09,Blida,Souhane,III
09,Blida,Souhane,IIb
09,Blida,Soumaa,III
10,Bouira,Aghbalou,IIa
10,Bouira,Ahl El Ksar,IIa
10,Bouira,Ain El Hadjar,IIa
10,Bouira,Ain Laloui,IIa
10,Bouira,Ain Turk,IIa
10,Bouira,Ain-Bessem,IIa
10,Bouira,Ait Laaziz,IIa
10,Bouira,Aomar,IIa
10,Bouira,Ath Mansour,IIa
10,Bouira,Bechloul,IIa
10,Bouira,Bir Ghbalou,IIa
10,Bouira,Bordj Okhriss,IIa
10,Bouira,Bouderbala,IIa
10,Bouira,Bouira,IIa
10,Bouira,Boukram,IIa
10,Bouira,Chorfa,IIa
10,Bouira,Dechmia,IIa
10,Bouira,Dirah,IIa
10,Bouira,Djebahia,IIa
10,Bouira,El Adjiba,IIa
10,Bouira,El Asnam,IIa
10,Bouira,El Hachimia,IIa
10,Bouira,El Khabouzia,IIa
10,Bouira,El-Hakimia,IIa
10,Bouira,El-Mokrani,IIa
10,Bouira,Guerrouma,IIa
10,Bouira,Hadjera Zerga,IIa
10,Bouira,Haizer,IIa
10,Bouira,Hanif,IIa
10,Bouira,Kadiria,IIa
10,Bouira,Lakhdaria,IIa
10,Bouira,M Chedallah,IIa
10,Bouira,Maala,IIa
10,Bouira,Maamora,IIa
10,Bouira,Mezdour,IIa
10,Bouira,Oued El Berdi,IIa
10,Bouira,Ouled Rached,IIa
10,Bouira,Raouraoua,IIa
10,Bouira,Ridane,IIa
10,Bouira,Saharidj,IIa
10,Bouira,Souk El Khemis,IIa
10,Bouira,Sour El Ghozlane,IIa
10,Bouira,Taghzout,IIa
10,Bouira,Taguedite,IIa
10,Bouira,Z'barbar (El Isseri ),IIa
11,Tamanrasset,Abelsa,0
11,Tamanrasset,Ain Amguel,0
11,Tamanrasset,Idles,0
11,Tamanrasset,Tamanrasset,0
11,Tamanrasset,Tazrouk,0
12,Tebessa,Ain Zerga,I
12,Tebessa,Bedjene,I
12,Tebessa,Bekkaria,I
12,Tebessa,Bir Dheheb,I
12,Tebessa,Bir Mokkadem,I
12,Tebessa,Bir-El-Ater,I
12,Tebessa,Boukhadra,I
12,Tebessa,Boulhaf Dyr,I
12,Tebessa,Cheria,I
12,Tebessa,El Kouif,I
12,Tebessa,El Malabiod,I
12,Tebessa,El Meridj,I
12,Tebessa,El Mezeraa,I
12,Tebessa,El Ogla,I
12,Tebessa,El Ogla El Malha,I
12,Tebessa,El-Aouinet,I
12,Tebessa,El-Houidjbet,I
12,Tebessa,Ferkane,I
12,Tebessa,Guorriguer,I
12,Tebessa,Hammamet,I
12,Tebessa,Morsott,I
12,Tebessa,Negrine,I
12,Tebessa,Ouenza,I
12,Tebessa,Oum Ali,I
12,Tebessa,Saf Saf El Ouesra,I
12,Tebessa,Stah Guentis,I
12,Tebessa,Tebessa,I
12,Tebessa,Telidjen,I
14,Tiaret,Ain Bouchekif,I
14,Tiaret,Ain Deheb,I
14,Tiaret,Ain Dzarit,I
14,Tiaret,Ain El Hadid,I
14,Tiaret,Ain Kermes,I
14,Tiaret,Bougara,I
14,Tiaret,Chehaima,I
14,Tiaret,Dahmouni,I
14,Tiaret,Djebilet Rosfa,I
14,Tiaret,Djillali Ben Amar,I
14,Tiaret,Faidja,I
14,Tiaret,Frenda,I
14,Tiaret,Guertoufa,I
14,Tiaret,Hamadia,I
14,Tiaret,Ksar Chellala,I
14,Tiaret,Madna,I
14,Tiaret,Mahdia,I
14,Tiaret,Mechraa Safa,I
14,Tiaret,Medrissa,I
14,Tiaret,Medroussa,I
14,Tiaret,Meghila,I
14,Tiaret,Mellakou,I
14,Tiaret,Nadorah,I
14,Tiaret,Naima,I
14,Tiaret,Oued Lilli,I
14,Tiaret,Rahouia,I
14,Tiaret,Rechaiga,I
14,Tiaret,Sebaine,I
14,Tiaret,Sebt,I
14,Tiaret,Serghine,I
14,Tiaret,Si Abdelghani,I
14,Tiaret,Sidi Abderrahmane,I
14,Tiaret,Sidi Ali Mellal,I
14,Tiaret,Sidi Bakhti,I
14,Tiaret,Sidi Hosni,I
14,Tiaret,Sougueur,I
14,Tiaret,Tagdempt,I
14,Tiaret,Takhemaret,I
14,Tiaret,Tiaret,I
14,Tiaret,Tidda,I
14,Tiaret,Tousnina,I
14,Tiaret,Zmalet El Emir Abdelkade,I
15,Tizi Ouzou,Abi-Youcef,III
15,Tizi Ouzou,Aghribs,III
15,Tizi Ouzou,Aghribs,IIb
15,Tizi Ouzou,Agouni-Gueghrane,III
15,Tizi Ouzou,Agouni-Gueghrane,IIa
15,Tizi Ouzou,Ain-El-Hammam,III
15,Tizi Ouzou,Ain-Zaouia,III
15,Tizi Ouzou,Ain-Zaouia,IIa
15,Tizi Ouzou,Ait Aggouacha,III
