wilaya_code,wilaya_name,commune_name,zone
01,ADRAR,1 - ADRAR,0
01,ADRAR,13 - OULED AHMED TIMI,0
01,ADRAR,17 - SALI,0
01,ADRAR,2 - AKABILI,0
01,ADRAR,20 - TAMENTIT,0
01,ADRAR,21 - TAMEST,0
01,ADRAR,24 - TIMOKTEN,0
01,ADRAR,26 - TIT,0
01,ADRAR,4 - AOULEF,0
01,ADRAR,6 - BOUDA,0
01,ADRAR,8 - FENOUGHIL,0
01,ADRAR,IN ZGHMIR,0
01,ADRAR,REGGANE,0
01,ADRAR,SEBAA,0
01,ADRAR,TSABIT,0
01,ADRAR,ZAOUIET KOUNTA,0
02,CHLEF,474 - ABOU EL HASSEN,III
02,CHLEF,475 - AIN MERANE,III
02,CHLEF,476 - BENAIRIA,III
02,CHLEF,478 - BENI HAOUA,III
02,CHLEF,479 - BENI RACHED,III
02,CHLEF,480 - BOUKADIR,III
02,CHLEF,480 - BOUKADIR,IIb
02,CHLEF,481 - BOUZEGHAIA,III
02,CHLEF,483 - CHETTIA,III
02,CHLEF,484 - CHLEF,III
02,CHLEF,485 - DAHRA,III
02,CHLEF,486 - EL HADJADJ,III
02,CHLEF,487 - EL KARIMIA,III
02,CHLEF,487 - EL KARIMIA,IIb
02,CHLEF,491 - LABIODH MEDJADJA,III
02,CHLEF,493 - OUED FODDA,III
02,CHLEF,494 - OUED GHOUSSINE,III
02,CHLEF,495 - OUED SLY,III
02,CHLEF,495 - OUED SLY,IIb
02,CHLEF,496 - OULED ABBES,III
02,CHLEF,497 - OULED BEN ABDELKADER,III
02,CHLEF,497 - OULED BEN ABDELKADER,IIa
02,CHLEF,498 - OULED FARES,III
02,CHLEF,499 - OUM DROU,III
02,CHLEF,500 - SENDJAS,III
02,CHLEF,500 - SENDJAS,IIb
02,CHLEF,503 - SOBHA,III
02,CHLEF,506 - TAOUGRITE,III
02,CHLEF,507 - TENES,III
02,CHLEF,508 - ZEBOUDJA,III
02,CHLEF,832 - EL OMARIA,III
02,CHLEF,894 - TADJENANET,III
02,CHLEF,BENI BOUATTAB,III
02,CHLEF,BREIRA,III
02,CHLEF,HARCHOUN,III
02,CHLEF,HARCHOUN,IIb
02,CHLEF,HERENFA,III
02,CHLEF,MOUSSADEK,III
02,CHLEF,SIDI ABDERRAHMANE,III
02,CHLEF,SIDI AKKACHA,III
02,CHLEF,TALASSA,III
03,LAGHOUAT,316 - EL FEIDH,I
03,LAGHOUAT,342 - BLIDA,I
03,LAGHOUAT,695 - EL AOUANA,I
03,LAGHOUAT,735 - AFLOU,I
03,LAGHOUAT,736 - AIN MADHI,I
03,LAGHOUAT,740 - EL ASSAFIA,I
03,LAGHOUAT,745 - HASSI DHELAA,I
03,LAGHOUAT,746 - HASSI RMEL,I
03,LAGHOUAT,747 - KHENEG,I
03,LAGHOUAT,748 - KSAR EL HIRANE,I
03,LAGHOUAT,749 - LAGHOUAT,I
03,LAGHOUAT,755 - SIDI MAKHLOUF,I
03,LAGHOUAT,756 - TADJEMOUT,I
03,LAGHOUAT,757 - TADJROUNA,I
03,LAGHOUAT,925 - SIDI ALI,I
03,LAGHOUAT,BENACER BENCHOHRA,I
03,LAGHOUAT,EL GHICHA,I
03,LAGHOUAT,GUELTAT SIDI SAAD,I
03,LAGHOUAT,HADJ MECHRI,I
03,LAGHOUAT,OUED M'ZI,I
03,LAGHOUAT,OUED MORRA,I
03,LAGHOUAT,SEBGAG,I
03,LAGHOUAT,SIDI BOUZID,I
03,LAGHOUAT,TAOUIALA,I
04,OUM EL BOUAGHI,1049 - AIN KERCHA,I
04,OUM EL BOUAGHI,1050 - AIN MLILA,I
04,OUM EL BOUAGHI,1054 - BIR CHOUHADA,I
04,OUM EL BOUAGHI,1055 - DHALAA,I
04,OUM EL BOUAGHI,1057 - EL BELALA,I
04,OUM EL BOUAGHI,1060 - EL HARMILIA,I
04,OUM EL BOUAGHI,1063 - HANCHIR TOUMGHANI,I
04,OUM EL BOUAGHI,1067 - OULED GACEM,I
04,OUM EL BOUAGHI,1068 - OULED HAMLA,I
04,OUM EL BOUAGHI,1069 - OULED ZOUAI,I
04,OUM EL BOUAGHI,1070 - OUM EL BOUAGHI,I
04,OUM EL BOUAGHI,1072 - SIGUS,I
04,OUM EL BOUAGHI,1073 - SOUK NAAMANE,I
04,OUM EL BOUAGHI,1346 - AIN BOUCHEKIF,I
04,OUM EL BOUAGHI,1371 - RAHOUIA,I
04,OUM EL BOUAGHI,155 - AIN BERDA,I
04,OUM EL BOUAGHI,613 - BERRIHANE,I
04,OUM EL BOUAGHI,76 - EL AMRIA,I
04,OUM EL BOUAGHI,760 - AIN FEKAN,I
04,OUM EL BOUAGHI,AIN DISS,I
04,OUM EL BOUAGHI,AIN ZITOUN,I
04,OUM EL BOUAGHI,BEHIR CHERGUI,I
04,OUM EL BOUAGHI,EL DJAZIA,I
04,OUM EL BOUAGHI,EL FEDJOUDJ BOUGHRARA SA,I
04,OUM EL BOUAGHI,FKIRINA,I
04,OUM EL BOUAGHI,KSAR SBAHI,I
04,OUM EL BOUAGHI,MESKIANA,I
04,OUM EL BOUAGHI,OUED NINI,I
04,OUM EL BOUAGHI,ZORG,I
05,BATNA,1560 - TLEMCEN,I
05,BATNA,165 - OUED EL ANEB,I
05,BATNA,169 - AIN DJASSER,I
05,BATNA,170 - AIN TOUTA,I
05,BATNA,171 - AIN YAGOUT,I
05,BATNA,172 - ARRIS,I
05,BATNA,173 - BARIKA,I
05,BATNA,174 - BATNA,I
05,BATNA,175 - BENI FOUDHALA EL HAKANIA,I
05,BATNA,176 - BITAM,I
05,BATNA,177 - BOULEHILET,I
05,BATNA,180 - BOUZINA,I
05,BATNA,181 - CHEMORA,I
05,BATNA,182 - CHIR,I
05,BATNA,183 - DJERMA,I
05,BATNA,184 - DJEZZAR,I
05,BATNA,186 - EL MADHER,I
05,BATNA,187 - FESDIS,I
05,BATNA,188 - FOUM TOUB,I
05,BATNA,189 - GHASSIRA,I
05,BATNA,192 - HIDOUSSA,I
05,BATNA,193 - ICHEMOUL,I
05,BATNA,194 - INOUGHISSENE,I
05,BATNA,195 - KIMMEL,I
05,BATNA,200 - MAAFA,I
05,BATNA,203 - MEROUANA,I
05,BATNA,205 - NGAOUS,I
05,BATNA,206 - OUED CHAABA,I
05,BATNA,208 - OUED TAGA,I
05,BATNA,211 - OULED FADEL,I
05,BATNA,212 - OULED SELLAM,I
05,BATNA,214 - OUYOUN EL ASSAFIR,I
05,BATNA,216 - RAS EL AIOUN,I
05,BATNA,217 - SEFIANE,I
05,BATNA,218 - SEGGANA,I
05,BATNA,219 - SERIANA,I
05,BATNA,221 - TAXLENT,I
05,BATNA,222 - TAZOULT,I
05,BATNA,223 - THENIET EL ABED,I
05,BATNA,224 - TIGHANIMINE,I
05,BATNA,225 - TIGHARGHAR,I
05,BATNA,227 - TIMGAD,I
05,BATNA,228 - TKOUT,I
05,BATNA,229 - ZANA EL BEIDA,I
05,BATNA,359 - OULED SLAMA,I
05,BATNA,410 - BOUIRA,I
05,BATNA,AZIL ABEDELKADER,I
05,BATNA,BOUMAGUEUR,I
05,BATNA,EL HASSI,I
05,BATNA,GOSBAT,I
05,BATNA,GUIGBA,I
05,BATNA,KSAR BELLEZMA,I
05,BATNA,LARBAA,I
05,BATNA,LAZROU,I
05,BATNA,M DOUKAL,I
05,BATNA,MENAA,I
05,BATNA,OULED AOUF,I
05,BATNA,OULED SI SLIMANE,I
05,BATNA,RAHBAT,I
05,BATNA,TALKHAMT,I
05,BATNA,TILATOU,I
06,BEJAIA,1496 - SOUK EL TENINE,IIa
06,BEJAIA,251 - ADEKAR,IIa
06,BEJAIA,252 - AIT R_ZINE,IIa
06,BEJAIA,253 - AIT SMAIL,IIa
06,BEJAIA,254 - AKBOU,IIa
06,BEJAIA,256 - AMALOU,IIa
06,BEJAIA,257 - AMIZOUR,IIa
06,BEJAIA,258 - AOKAS,IIa
06,BEJAIA,259 - BARBACHA,IIa
06,BEJAIA,260 - BEJAIA,IIa
06,BEJAIA,262 - BENI DJELLIL,IIa
06,BEJAIA,265 - BENI MAOUCHE,IIa
06,BEJAIA,266 - BENI MELIKECH,IIa
06,BEJAIA,267 - BOUDJELLIL,IIa
06,BEJAIA,268 - BOUHAMZA,IIa
06,BEJAIA,269 - BOUKHELIFA,IIa
06,BEJAIA,270 - CHELATA,IIa
06,BEJAIA,271 - CHEMINI,IIa
06,BEJAIA,272 - DARGUINA,IIa
06,BEJAIA,273 - DRAA EL KAID,IIa
06,BEJAIA,274 - EL KSEUR,IIa
