wilaya_name,commune_name,zone
ADRAR,ADRAR,0
ADRAR,AKABILI,0
ADRAR,AOUGROUT,0
ADRAR,AOULEF,0
ADRAR,BORDJ BADJI MOKHTAR,0
ADRAR,BOUDA,0
ADRAR,DELDOUL,0
ADRAR,FENOUGHIL,0
ADRAR,GHAROUINE,0
ADRAR,INZEGMIR,0
ADRAR,KSAR KADDOUR,0
ADRAR,METARFA,0
ADRAR,OULED AHMED TIMI,0
ADRAR,OULED AISSA,0
ADRAR,OULED SAID,0
ADRAR,REGGANE,0
ADRAR,SALI,0
ADRAR,SEBAA,0
ADRAR,TALMINE,0
ADRAR,TAMENTIT,0
ADRAR,TAMEST,0
ADRAR,TIMIAOUINE,0
ADRAR,TIMIMOUN,0
ADRAR,TIMOKTEN,0
ADRAR,TINERKOUK,0
ADRAR,TIT,0
ADRAR,TSABIT,0
ADRAR,ZAOUIET KOUNTA,0
AIN-DEFLA,AIN BENIAN,III
AIN-DEFLA,AIN BOUYAHIA,III
AIN-DEFLA,AIN LECHIAKH,III
AIN-DEFLA,AIN SOLTANE,III
AIN-DEFLA,AIN TORKI,III
AIN-DEFLA,AIN-DEFLA,III
AIN-DEFLA,ARIB,III
AIN-DEFLA,BARBOUCHE,III
AIN-DEFLA,BATHIA,III
AIN-DEFLA,BELAAS,III
AIN-DEFLA,BEN ALLAL,III
AIN-DEFLA,BIR OULED KHELIFA,III
AIN-DEFLA,BORDJ EMIR KHALED,III
AIN-DEFLA,BOUMEDFAA,III
AIN-DEFLA,BOURACHED,III
AIN-DEFLA,DJELIDA,III
AIN-DEFLA,DJEMAA OULED CHEIKH,III
AIN-DEFLA,DJENDEL,III
AIN-DEFLA,EL ABBADIA,III
AIN-DEFLA,EL AMRA,III
AIN-DEFLA,EL ATTAF,III
AIN-DEFLA,EL HASSANIA,III
AIN-DEFLA,EL HOCEINIA,III
AIN-DEFLA,EL MAYENE,III
AIN-DEFLA,HAMMAM RIGHA,III
AIN-DEFLA,KHEMIS MILIANA,III
AIN-DEFLA,MEKHATRIA,III
AIN-DEFLA,MILIANA,III
AIN-DEFLA,OUED CHORFA,III
AIN-DEFLA,OUED DJEMAA,III
AIN-DEFLA,ROUINA,III
AIN-DEFLA,SIDI LAKHDAR,III
AIN-DEFLA,TACHTA ZEGARRA,III
AIN-DEFLA,TARIK IBN ZIAD,III
AIN-DEFLA,TIBERKANINE,III
AIN-DEFLA,ZEDDINE,III
AIN-TEMOUCHENT,AGHLAL,IIA
AIN-TEMOUCHENT,AIN EL ARBAA,IIA
AIN-TEMOUCHENT,AIN KIHEL,IIA
AIN-TEMOUCHENT,AIN TOLBA,IIA
AIN-TEMOUCHENT,AIN-TEMOUCHENT,IIA
AIN-TEMOUCHENT,BENI SAF,IIA
